0000	Spooky Wardrobe     
08CE	Rally Shirt         
08CF	Rally Shirt         
08D0	Racer Shirt         
08D1	Racer Shirt         
08D2	Racer Shirt         
08D3	Racer Shirt         
08D4	Racer 6 Shirt       
08D5	Racer 6 Shirt       
08D6	Racer 6 Shirt       
08D7	Racer 6 Shirt       
08D8	Tomato Juice Shirt  
08D9	Tomato Juice Shirt  
08DA	Tomato Juice Shirt  
08DB	Tomato Juice Shirt  
08DC	Spiderweb Shirt     
08DD	Spiderweb Shirt     
08DE	Spiderweb Shirt     
08DF	Spiderweb Shirt     
08E0	Zipper Shirt        
08E1	Zipper Shirt        
08E2	Zipper Shirt        
08E3	Zipper Shirt        
08E4	Bubble Shirt        
08E5	Bubble Shirt        
08E6	Bubble Shirt        
08E7	Bubble Shirt        
08E8	Yellow Bolero       
08E9	Yellow Bolero       
08EA	Yellow Bolero       
08EB	Yellow Bolero       
08EC	Nebula Shirt        
08ED	Nebula Shirt        
08EE	Nebula Shirt        
08EF	Nebula Shirt        
08F0	Neo-Classic Knit    
08F1	Neo-Classic Knit    
08F2	Neo-Classic Knit    
08F3	Neo-Classic Knit    
08F4	Noble Shirt         
08F5	Noble Shirt         
08F6	Noble Shirt         
08F7	Noble Shirt         
08F8	Turnip Top          
08F9	Turnip Top          
08FA	Turnip Top          
08FB	Turnip Top          
08FC	Oft-Seen Print      
08FD	Oft-Seen Print      
08FE	Oft-Seen Print      
08FF	Oft-Seen Print      
0900	Ski Sweater         
0901	Ski Sweater         
0902	Ski Sweater         
0903	Ski Sweater         
0904	Circus Shirt        
0905	Circus Shirt        
0906	Circus Shirt        
0907	Circus Shirt        
0908	Patchwork Top       
0909	Patchwork Top       
090A	Patchwork Top       
090B	Patchwork Top       
090C	Mod Top             
090D	Mod Top             
090E	Mod Top             
090F	Mod Top             
0910	Hippie Shirt        
0911	Hippie Shirt        
0912	Hippie Shirt        
0913	Hippie Shirt        
0914	Rickrack Shirt      
0915	Rickrack Shirt      
0916	Rickrack Shirt      
0917	Rickrack Shirt      
0918	Diner Uniform       
0919	Diner Uniform       
091A	Diner Uniform       
091B	Diner Uniform       
091C	Shirt Circuit       
091D	Shirt Circuit       
091E	Shirt Circuit       
091F	Shirt Circuit       
0920	U R Here Shirt      
0921	U R Here Shirt      
0922	U R Here Shirt      
0923	U R Here Shirt      
0924	Yodel Shirt         
0925	Yodel Shirt         
0926	Yodel Shirt         
0927	Yodel Shirt         
0928	Pulse Shirt         
0929	Pulse Shirt         
092A	Pulse Shirt         
092B	Pulse Shirt         
092C	Prism Shirt         
092D	Prism Shirt         
092E	Prism Shirt         
092F	Prism Shirt         
0930	Star Shirt          
0931	Star Shirt          
0932	Star Shirt          
0933	Star Shirt          
0934	Straw Shirt         
0935	Straw Shirt         
0936	Straw Shirt         
0937	Straw Shirt         
0938	Noodle Shirt        
0939	Noodle Shirt        
093A	Noodle Shirt        
093B	Noodle Shirt        
093C	Dice Shirt          
093D	Dice Shirt          
093E	Dice Shirt          
093F	Dice Shirt          
0940	Kiddie Shirt        
0941	Kiddie Shirt        
0942	Kiddie Shirt        
0943	Kiddie Shirt        
0944	Frog Shirt          
0945	Frog Shirt          
0946	Frog Shirt          
0947	Frog Shirt          
0948	Moody Blue Shirt    
0949	Moody Blue Shirt    
094A	Moody Blue Shirt    
094B	Moody Blue Shirt    
094C	Cloudy Shirt        
094D	Cloudy Shirt        
094E	Cloudy Shirt        
094F	Cloudy Shirt        
0950	Familiar Shirt      
0951	Familiar Shirt      
0952	Familiar Shirt      
0953	Familiar Shirt      
0954	Skull Shirt         
0955	Skull Shirt         
0956	Skull Shirt         
0957	Skull Shirt         
0958	Desert Shirt        
0959	Desert Shirt        
095A	Desert Shirt        
095B	Desert Shirt        
095C	Aurora Knit         
095D	Aurora Knit         
095E	Aurora Knit         
095F	Aurora Knit         
0960	Winter Sweater      
0961	Winter Sweater      
0962	Winter Sweater      
0963	Winter Sweater      
0964	Go-Go Shirt         
0965	Go-Go Shirt         
0966	Go-Go Shirt         
0967	Go-Go Shirt         
0968	Jade Check Print    
0969	Jade Check Print    
096A	Jade Check Print    
096B	Jade Check Print    
096C	Blue Check Print    
096D	Blue Check Print    
096E	Blue Check Print    
096F	Blue Check Print    
0970	Red Grid Shirt      
0971	Red Grid Shirt      
0972	Red Grid Shirt      
0973	Red Grid Shirt      
0974	Flicker Shirt       
0975	Flicker Shirt       
0976	Flicker Shirt       
0977	Flicker Shirt       
0978	Floral Knit         
0979	Floral Knit         
097A	Floral Knit         
097B	Floral Knit         
097C	Rose Shirt          
097D	Rose Shirt          
097E	Rose Shirt          
097F	Rose Shirt          
0980	Sunset Top          
0981	Sunset Top          
0982	Sunset Top          
0983	Sunset Top          
0984	Chain-Gang Shirt    
0985	Chain-Gang Shirt    
0986	Chain-Gang Shirt    
0987	Chain-Gang Shirt    
0988	Spring Shirt        
0989	Spring Shirt        
098A	Spring Shirt        
098B	Spring Shirt        
098C	Bear Shirt          
098D	Bear Shirt          
098E	Bear Shirt          
098F	Bear Shirt          
0990	MVP Shirt           
0991	MVP Shirt           
0992	MVP Shirt           
0993	MVP Shirt           
0994	Silk Bloom Shirt    
0995	Silk Bloom Shirt    
0996	Silk Bloom Shirt    
0997	Silk Bloom Shirt    
0998	Pop Bloom Shirt     
0999	Pop Bloom Shirt     
099A	Pop Bloom Shirt     
099B	Pop Bloom Shirt     
099C	Loud Bloom Shirt    
099D	Loud Bloom Shirt    
099E	Loud Bloom Shirt    
099F	Loud Bloom Shirt    
09A0	Hot Spring Shirt    
09A1	Hot Spring Shirt    
09A2	Hot Spring Shirt    
09A3	Hot Spring Shirt    
09A4	New Spring Shirt    
09A5	New Spring Shirt    
09A6	New Spring Shirt    
09A7	New Spring Shirt    
09A8	Deep Blue Tee       
09A9	Deep Blue Tee       
09AA	Deep Blue Tee       
09AB	Deep Blue Tee       
09AC	Snowcone Shirt      
09AD	Snowcone Shirt      
09AE	Snowcone Shirt      
09AF	Snowcone Shirt      
09B0	Ugly Shirt          
09B1	Ugly Shirt          
09B2	Ugly Shirt          
09B3	Ugly Shirt          
09B4	Sharp Outfit        
09B5	Sharp Outfit        
09B6	Sharp Outfit        
09B7	Sharp Outfit        
09B8	Painter's Smock     
09B9	Painter's Smock     
09BA	Painter's Smock     
09BB	Painter's Smock     
09BC	Spade Shirt         
09BD	Spade Shirt         
09BE	Spade Shirt         
09BF	Spade Shirt         
09C0	Blossoming Shirt    
09C1	Blossoming Shirt    
09C2	Blossoming Shirt    
09C3	Blossoming Shirt    
09C4	Peachy Shirt        
09C5	Peachy Shirt        
09C6	Peachy Shirt        
09C7	Peachy Shirt        
09C8	Static Shirt        
09C9	Static Shirt        
09CA	Static Shirt        
09CB	Static Shirt        
09CC	Rainbow Shirt       
09CD	Rainbow Shirt       
09CE	Rainbow Shirt       
09CF	Rainbow Shirt       
09D0	Groovy Shirt        
09D1	Groovy Shirt        
09D2	Groovy Shirt        
09D3	Groovy Shirt        
09D4	Loud Line Shirt     
09D5	Loud Line Shirt     
09D6	Loud Line Shirt     
09D7	Loud Line Shirt     
09D8	Dazed Shirt         
09D9	Dazed Shirt         
09DA	Dazed Shirt         
09DB	Dazed Shirt         
09DC	Red Bar Shirt       
09DD	Red Bar Shirt       
09DE	Red Bar Shirt       
09DF	Red Bar Shirt       
09E0	Blue Stripe Knit    
09E1	Blue Stripe Knit    
09E2	Blue Stripe Knit    
09E3	Blue Stripe Knit    
09E4	Earthy Knit         
09E5	Earthy Knit         
09E6	Earthy Knit         
09E7	Earthy Knit         
09E8	Spunky Knit         
09E9	Spunky Knit         
09EA	Spunky Knit         
09EB	Spunky Knit         
09EC	Deer Shirt          
09ED	Deer Shirt          
09EE	Deer Shirt          
09EF	Deer Shirt          
09F0	Blue Check Shirt    
09F1	Blue Check Shirt    
09F2	Blue Check Shirt    
09F3	Blue Check Shirt    
09F4	Light Line Shirt    
09F5	Light Line Shirt    
09F6	Light Line Shirt    
09F7	Light Line Shirt    
09F8	Blue Pinestripe     
09F9	Blue Pinestripe     
09FA	Blue Pinestripe     
09FB	Blue Pinestripe     
09FC	Diamond Shirt       
09FD	Diamond Shirt       
09FE	Diamond Shirt       
09FF	Diamond Shirt       
0A00	Lime Line Shirt     
0A01	Lime Line Shirt     
0A02	Lime Line Shirt     
0A03	Lime Line Shirt     
0A04	Big Bro's Shirt     
0A05	Big Bro's Shirt     
0A06	Big Bro's Shirt     
0A07	Big Bro's Shirt     
0A08	Green Bar Shirt     
0A09	Green Bar Shirt     
0A0A	Green Bar Shirt     
0A0B	Green Bar Shirt     
0A0C	Yellow Bar Shirt    
0A0D	Yellow Bar Shirt    
0A0E	Yellow Bar Shirt    
0A0F	Yellow Bar Shirt    
0A10	Monkey Shirt        
0A11	Monkey Shirt        
0A12	Monkey Shirt        
0A13	Monkey Shirt        
0A14	Polar Fleece        
0A15	Polar Fleece        
0A16	Polar Fleece        
0A17	Polar Fleece        
0A18	Ancient Knit        
0A19	Ancient Knit        
0A1A	Ancient Knit        
0A1B	Ancient Knit        
0A1C	Fish Knit           
0A1D	Fish Knit           
0A1E	Fish Knit           
0A1F	Fish Knit           
0A20	Vertigo Shirt       
0A21	Vertigo Shirt       
0A22	Vertigo Shirt       
0A23	Vertigo Shirt       
0A24	Misty Shirt         
0A25	Misty Shirt         
0A26	Misty Shirt         
0A27	Misty Shirt         
0A28	Stormy Shirt        
0A29	Stormy Shirt        
0A2A	Stormy Shirt        
0A2B	Stormy Shirt        
0A2C	Red Scale Shirt     
0A2D	Red Scale Shirt     
0A2E	Red Scale Shirt     
0A2F	Red Scale Shirt     
0A30	Blue Scale Shirt    
0A31	Blue Scale Shirt    
0A32	Blue Scale Shirt    
0A33	Blue Scale Shirt    
0A34	Heart Shirt         
0A35	Heart Shirt         
0A36	Heart Shirt         
0A37	Heart Shirt         
0A38	Yellow Pinstripe    
0A39	Yellow Pinstripe    
0A3A	Yellow Pinstripe    
0A3B	Yellow Pinstripe    
0A3C	Club Shirt          
0A3D	Club Shirt          
0A3E	Club Shirt          
0A3F	Club Shirt          
0A40	Li'l Bro's Shirt    
0A41	Li'l Bro's Shirt    
0A42	Li'l Bro's Shirt    
0A43	Li'l Bro's Shirt    
0A44	Argyle Knit         
0A45	Argyle Knit         
0A46	Argyle Knit         
0A47	Argyle Knit         
0A48	Caveman Tunic       
0A49	Caveman Tunic       
0A4A	Caveman Tunic       
0A4B	Caveman Tunic       
0A4C	Café Shirt          
0A4D	Café Shirt          
0A4E	Café Shirt          
0A4F	Café Shirt          
0A50	Tiki Shirt          
0A51	Tiki Shirt          
0A52	Tiki Shirt          
0A53	Tiki Shirt          
0A54	A Shirt             
0A55	A Shirt             
0A56	A Shirt             
0A57	A Shirt             
0A58	Checkered Shirt     
0A59	Checkered Shirt     
0A5A	Checkered Shirt     
0A5B	Checkered Shirt     
0A5C	No. 1 Shirt         
0A5D	No. 1 Shirt         
0A5E	No. 1 Shirt         
0A5F	No. 1 Shirt         
0A60	No. 2 Shirt         
0A61	No. 2 Shirt         
0A62	No. 2 Shirt         
0A63	No. 2 Shirt         
0A64	No. 3 Shirt         
0A65	No. 3 Shirt         
0A66	No. 3 Shirt         
0A67	No. 3 Shirt         
0A68	No. 4 Shirt         
0A69	No. 4 Shirt         
0A6A	No. 4 Shirt         
0A6B	No. 4 Shirt         
0A6C	No. 5 Shirt         
0A6D	No. 5 Shirt         
0A6E	No. 5 Shirt         
0A6F	No. 5 Shirt         
0A70	No. 23 Shirt        
0A71	No. 23 Shirt        
0A72	No. 23 Shirt        
0A73	No. 23 Shirt        
0A74	No. 67 Shirt        
0A75	No. 67 Shirt        
0A76	No. 67 Shirt        
0A77	No. 67 Shirt        
0A78	BB Shirt            
0A79	BB Shirt            
0A7A	BB Shirt            
0A7B	BB Shirt            
0A7C	Beatnik Shirt       
0A7D	Beatnik Shirt       
0A7E	Beatnik Shirt       
0A7F	Beatnik Shirt       
0A80	Moldy Shirt         
0A81	Moldy Shirt         
0A82	Moldy Shirt         
0A83	Moldy Shirt         
0A84	W Shirt             
0A85	W Shirt             
0A86	W Shirt             
0A87	W Shirt             
0A88	Big Star Shirt      
0A89	Big Star Shirt      
0A8A	Big Star Shirt      
0A8B	Big Star Shirt      
0A8C	Orange Pinstripe    
0A8D	Orange Pinstripe    
0A8E	Orange Pinstripe    
0A8F	Orange Pinstripe    
0A90	Twinkle Shirt       
0A91	Twinkle Shirt       
0A92	Twinkle Shirt       
0A93	Twinkle Shirt       
0A94	Funky Dot Shirt     
0A95	Funky Dot Shirt     
0A96	Funky Dot Shirt     
0A97	Funky Dot Shirt     
0A98	Crossing Shirt      
0A99	Crossing Shirt      
0A9A	Crossing Shirt      
0A9B	Crossing Shirt      
0A9C	Splendid Shirt      
0A9D	Splendid Shirt      
0A9E	Splendid Shirt      
0A9F	Splendid Shirt      
0AA0	Jagged Shirt        
0AA1	Jagged Shirt        
0AA2	Jagged Shirt        
0AA3	Jagged Shirt        
0AA4	Denim Shirt         
0AA5	Denim Shirt         
0AA6	Denim Shirt         
0AA7	Denim Shirt         
0AA8	I Love 64 Shirt     
0AA9	I Love 64 Shirt     
0AAA	I Love 64 Shirt     
0AAB	I Love 64 Shirt     
0AAC	Gumdrop Shirt       
0AAD	Gumdrop Shirt       
0AAE	Gumdrop Shirt       
0AAF	Gumdrop Shirt       
0AB0	Barber Shirt        
0AB1	Barber Shirt        
0AB2	Barber Shirt        
0AB3	Barber Shirt        
0AB4	Concierge Shirt     
0AB5	Concierge Shirt     
0AB6	Concierge Shirt     
0AB7	Concierge Shirt     
0AB8	Fresh Shirt         
0AB9	Fresh Shirt         
0ABA	Fresh Shirt         
0ABB	Fresh Shirt         
0ABC	Far-Out Shirt       
0ABD	Far-Out Shirt       
0ABE	Far-Out Shirt       
0ABF	Far-Out Shirt       
0AC0	Dawn Shirt          
0AC1	Dawn Shirt          
0AC2	Dawn Shirt          
0AC3	Dawn Shirt          
0AC4	Striking Outfit     
0AC5	Striking Outfit     
0AC6	Striking Outfit     
0AC7	Striking Outfit     
0AC8	Red Check Shirt     
0AC9	Red Check Shirt     
0ACA	Red Check Shirt     
0ACB	Red Check Shirt     
0ACC	Berry Gingham       
0ACD	Berry Gingham       
0ACE	Berry Gingham       
0ACF	Berry Gingham       
0AD0	Lemon Gingham       
0AD1	Lemon Gingham       
0AD2	Lemon Gingham       
0AD3	Lemon Gingham       
0AD4	Dragon Suit         
0AD5	Dragon Suit         
0AD6	Dragon Suit         
0AD7	Dragon Suit         
0AD8	N Logo Shirt        
0AD9	N Logo Shirt        
0ADA	N Logo Shirt        
0ADB	N Logo Shirt        
0ADC	Tin Shirt           
0ADD	Tin Shirt           
0ADE	Tin Shirt           
0ADF	Tin Shirt           
0AE0	Jester Shirt        
0AE1	Jester Shirt        
0AE2	Jester Shirt        
0AE3	Jester Shirt        
0AE4	Pink Tartan         
0AE5	Pink Tartan         
0AE6	Pink Tartan         
0AE7	Pink Tartan         
0AE8	Waffle Shirt        
0AE9	Waffle Shirt        
0AEA	Waffle Shirt        
0AEB	Waffle Shirt        
0AEC	Gray Tartan         
0AED	Gray Tartan         
0AEE	Gray Tartan         
0AEF	Gray Tartan         
0AF0	Windsock Shirt      
0AF1	Windsock Shirt      
0AF2	Windsock Shirt      
0AF3	Windsock Shirt      
0AF4	Trendy Top          
0AF5	Trendy Top          
0AF6	Trendy Top          
0AF7	Trendy Top          
0AF8	Green Ring Shirt    
0AF9	Green Ring Shirt    
0AFA	Green Ring Shirt    
0AFB	Green Ring Shirt    
0AFC	White Ring Shirt    
0AFD	White Ring Shirt    
0AFE	White Ring Shirt    
0AFF	White Ring Shirt    
0B00	Snappy Print        
0B01	Snappy Print        
0B02	Snappy Print        
0B03	Snappy Print        
0B04	Chichi Print        
0B05	Chichi Print        
0B06	Chichi Print        
0B07	Chichi Print        
0B08	Wave Print          
0B09	Wave Print          
0B0A	Wave Print          
0B0B	Wave Print          
0B0C	Checkerboard Tee    
0B0D	Checkerboard Tee    
0B0E	Checkerboard Tee    
0B0F	Checkerboard Tee    
0B10	Subdued Print       
0B11	Subdued Print       
0B12	Subdued Print       
0B13	Subdued Print       
0B14	Airy Shirt          
0B15	Airy Shirt          
0B16	Airy Shirt          
0B17	Airy Shirt          
0B18	Coral Shirt         
0B19	Coral Shirt         
0B1A	Coral Shirt         
0B1B	Coral Shirt         
0B1C	Leather Jerkin      
0B1D	Leather Jerkin      
0B1E	Leather Jerkin      
0B1F	Leather Jerkin      
0B20	Zebra Print         
0B21	Zebra Print         
0B22	Zebra Print         
0B23	Zebra Print         
0B24	Tiger Print         
0B25	Tiger Print         
0B26	Tiger Print         
0B27	Tiger Print         
0B28	Cow Print           
0B29	Cow Print           
0B2A	Cow Print           
0B2B	Cow Print           
0B2C	Leopard Print       
0B2D	Leopard Print       
0B2E	Leopard Print       
0B2F	Leopard Print       
0B30	Danger Shirt        
0B31	Danger Shirt        
0B32	Danger Shirt        
0B33	Danger Shirt        
0B34	Big Dot Shirt       
0B35	Big Dot Shirt       
0B36	Big Dot Shirt       
0B37	Big Dot Shirt       
0B38	Puzzling Shirt      
0B39	Puzzling Shirt      
0B3A	Puzzling Shirt      
0B3B	Puzzling Shirt      
0B3C	Exotic Shirt        
0B3D	Exotic Shirt        
0B3E	Exotic Shirt        
0B3F	Exotic Shirt        
0B40	Houndstooth Knit    
0B41	Houndstooth Knit    
0B42	Houndstooth Knit    
0B43	Houndstooth Knit    
0B44	Uncommon Shirt      
0B45	Uncommon Shirt      
0B46	Uncommon Shirt      
0B47	Uncommon Shirt      
0B48	Dapper Shirt        
0B49	Dapper Shirt        
0B4A	Dapper Shirt        
0B4B	Dapper Shirt        
0B4C	Gaudy Sweater       
0B4D	Gaudy Sweater       
0B4E	Gaudy Sweater       
0B4F	Gaudy Sweater       
0B50	Cozy Sweater        
0B51	Cozy Sweater        
0B52	Cozy Sweater        
0B53	Cozy Sweater        
0B54	Comfy Sweater       
0B55	Comfy Sweater       
0B56	Comfy Sweater       
0B57	Comfy Sweater       
0B58	Classic Top         
0B59	Classic Top         
0B5A	Classic Top         
0B5B	Classic Top         
0B5C	Vogue Top           
0B5D	Vogue Top           
0B5E	Vogue Top           
0B5F	Vogue Top           
0B60	Laced Shirt         
0B61	Laced Shirt         
0B62	Laced Shirt         
0B63	Laced Shirt         
0B64	Natty Shirt         
0B65	Natty Shirt         
0B66	Natty Shirt         
0B67	Natty Shirt         
0B68	Citrus Gingham      
0B69	Citrus Gingham      
0B6A	Citrus Gingham      
0B6B	Citrus Gingham      
0B6C	Cool Shirt          
0B6D	Cool Shirt          
0B6E	Cool Shirt          
0B6F	Cool Shirt          
0B70	Dreamy Shirt        
0B71	Dreamy Shirt        
0B72	Dreamy Shirt        
0B73	Dreamy Shirt        
0B74	Flowery Shirt       
0B75	Flowery Shirt       
0B76	Flowery Shirt       
0B77	Flowery Shirt       
0B78	Caterpillar Tee     
0B79	Caterpillar Tee     
0B7A	Caterpillar Tee     
0B7B	Caterpillar Tee     
0B7C	Shortcake Shirt     
0B7D	Shortcake Shirt     
0B7E	Shortcake Shirt     
0B7F	Shortcake Shirt     
0B80	Whirly Shirt        
0B81	Whirly Shirt        
0B82	Whirly Shirt        
0B83	Whirly Shirt        
0B84	Thunder Shirt       
0B85	Thunder Shirt       
0B86	Thunder Shirt       
0B87	Thunder Shirt       
0B88	Giraffe Print       
0B89	Giraffe Print       
0B8A	Giraffe Print       
0B8B	Giraffe Print       
0B8C	Swell Shirt         
0B8D	Swell Shirt         
0B8E	Swell Shirt         
0B8F	Swell Shirt         
0B90	Toad Print          
0B91	Toad Print          
0B92	Toad Print          
0B93	Toad Print          
0B94	Grass Shirt         
0B95	Grass Shirt         
0B96	Grass Shirt         
0B97	Grass Shirt         
0B98	Mosaic Shirt        
0B99	Mosaic Shirt        
0B9A	Mosaic Shirt        
0B9B	Mosaic Shirt        
0B9C	Fetching Outfit     
0B9D	Fetching Outfit     
0B9E	Fetching Outfit     
0B9F	Fetching Outfit     
0BA0	Snow Shirt          
0BA1	Snow Shirt          
0BA2	Snow Shirt          
0BA3	Snow Shirt          
0BA4	Melon Gingham       
0BA5	Melon Gingham       
0BA6	Melon Gingham       
0BA7	Melon Gingham       
0BA8	Common Butterfly    
0BA9	Common Butterfly    
0BAA	Common Butterfly    
0BAB	Common Butterfly    
0BAC	Yellow Butterfly    
0BAD	Yellow Butterfly    
0BAE	Yellow Butterfly    
0BAF	Yellow Butterfly    
0BB0	Tiger Butterfly     
0BB1	Tiger Butterfly     
0BB2	Tiger Butterfly     
0BB3	Tiger Butterfly     
0BB4	Purple Butterfly    
0BB5	Purple Butterfly    
0BB6	Purple Butterfly    
0BB7	Purple Butterfly    
0BB8	Robust Cicada       
0BB9	Robust Cicada       
0BBA	Robust Cicada       
0BBB	Robust Cicada       
0BBC	Walker Cicada       
0BBD	Walker Cicada       
0BBE	Walker Cicada       
0BBF	Walker Cicada       
0BC0	Evening Cicada      
0BC1	Evening Cicada      
0BC2	Evening Cicada      
0BC3	Evening Cicada      
0BC4	Brown Cicada        
0BC5	Brown Cicada        
0BC6	Brown Cicada        
0BC7	Brown Cicada        
0BC8	Bee                 
0BC9	Bee                 
0BCA	Bee                 
0BCB	Bee                 
0BCC	Common Dragonfly    
0BCD	Common Dragonfly    
0BCE	Common Dragonfly    
0BCF	Common Dragonfly    
0BD0	Red Dragonfly       
0BD1	Red Dragonfly       
0BD2	Red Dragonfly       
0BD3	Red Dragonfly       
0BD4	Darner Dragonfly    
0BD5	Darner Dragonfly    
0BD6	Darner Dragonfly    
0BD7	Darner Dragonfly    
0BD8	Banded Dragonfly    
0BD9	Banded Dragonfly    
0BDA	Banded Dragonfly    
0BDB	Banded Dragonfly    
0BDC	Long Locust         
0BDD	Long Locust         
0BDE	Long Locust         
0BDF	Long Locust         
0BE0	Migratory Locust    
0BE1	Migratory Locust    
0BE2	Migratory Locust    
0BE3	Migratory Locust    
0BE4	Cricket             
0BE5	Cricket             
0BE6	Cricket             
0BE7	Cricket             
0BE8	Grasshopper         
0BE9	Grasshopper         
0BEA	Grasshopper         
0BEB	Grasshopper         
0BEC	Bell Cricket        
0BED	Bell Cricket        
0BEE	Bell Cricket        
0BEF	Bell Cricket        
0BF0	Pine Cricket        
0BF1	Pine Cricket        
0BF2	Pine Cricket        
0BF3	Pine Cricket        
0BF4	Drone Beetle        
0BF5	Drone Beetle        
0BF6	Drone Beetle        
0BF7	Drone Beetle        
0BF8	Dynastid Beetle     
0BF9	Dynastid Beetle     
0BFA	Dynastid Beetle     
0BFB	Dynastid Beetle     
0BFC	Flat Stag Beetle    
0BFD	Flat Stag Beetle    
0BFE	Flat Stag Beetle    
0BFF	Flat Stag Beetle    
0C00	Jewel Beetle        
0C01	Jewel Beetle        
0C02	Jewel Beetle        
0C03	Jewel Beetle        
0C04	Longhorn Beetle     
0C05	Longhorn Beetle     
0C06	Longhorn Beetle     
0C07	Longhorn Beetle     
0C08	Ladybug             
0C09	Ladybug             
0C0A	Ladybug             
0C0B	Ladybug             
0C0C	Spotted Ladybug     
0C0D	Spotted Ladybug     
0C0E	Spotted Ladybug     
0C0F	Spotted Ladybug     
0C10	Mantis              
0C11	Mantis              
0C12	Mantis              
0C13	Mantis              
0C14	Firefly             
0C15	Firefly             
0C16	Firefly             
0C17	Firefly             
0C18	Cockroach           
0C19	Cockroach           
0C1A	Cockroach           
0C1B	Cockroach           
0C1C	Saw Stag Beetle     
0C1D	Saw Stag Beetle     
0C1E	Saw Stag Beetle     
0C1F	Saw Stag Beetle     
0C20	Mountain Beetle     
0C21	Mountain Beetle     
0C22	Mountain Beetle     
0C23	Mountain Beetle     
0C24	Giant Beetle        
0C25	Giant Beetle        
0C26	Giant Beetle        
0C27	Giant Beetle        
0C28	Crucian Carp        
0C29	Crucian Carp        
0C2A	Crucian Carp        
0C2B	Crucian Carp        
0C2C	Brook Trout         
0C2D	Brook Trout         
0C2E	Brook Trout         
0C2F	Brook Trout         
0C30	Carp                
0C31	Carp                
0C32	Carp                
0C33	Carp                
0C34	Koi                 
0C35	Koi                 
0C36	Koi                 
0C37	Koi                 
0C38	Catfish             
0C39	Catfish             
0C3A	Catfish             
0C3B	Catfish             
0C3C	Small Bass          
0C3D	Small Bass          
0C3E	Small Bass          
0C3F	Small Bass          
0C40	Bass                
0C41	Bass                
0C42	Bass                
0C43	Bass                
0C44	Large Bass          
0C45	Large Bass          
0C46	Large Bass          
0C47	Large Bass          
0C48	Bluegill            
0C49	Bluegill            
0C4A	Bluegill            
0C4B	Bluegill            
0C4C	Giant Catfish       
0C4D	Giant Catfish       
0C4E	Giant Catfish       
0C4F	Giant Catfish       
0C50	Giant Snakehead     
0C51	Giant Snakehead     
0C52	Giant Snakehead     
0C53	Giant Snakehead     
0C54	Barbel Steed        
0C55	Barbel Steed        
0C56	Barbel Steed        
0C57	Barbel Steed        
0C58	Dace                
0C59	Dace                
0C5A	Dace                
0C5B	Dace                
0C5C	Pale Chub           
0C5D	Pale Chub           
0C5E	Pale Chub           
0C5F	Pale Chub           
0C60	Bitterling          
0C61	Bitterling          
0C62	Bitterling          
0C63	Bitterling          
0C64	Loach               
0C65	Loach               
0C66	Loach               
0C67	Loach               
0C68	Pond Smelt          
0C69	Pond Smelt          
0C6A	Pond Smelt          
0C6B	Pond Smelt          
0C6C	Sweetfish           
0C6D	Sweetfish           
0C6E	Sweetfish           
0C6F	Sweetfish           
0C70	Cherry Salmon       
0C71	Cherry Salmon       
0C72	Cherry Salmon       
0C73	Cherry Salmon       
0C74	Large Char          
0C75	Large Char          
0C76	Large Char          
0C77	Large Char          
0C78	Rainbow Trout       
0C79	Rainbow Trout       
0C7A	Rainbow Trout       
0C7B	Rainbow Trout       
0C7C	Stringfish          
0C7D	Stringfish          
0C7E	Stringfish          
0C7F	Stringfish          
0C80	Salmon              
0C81	Salmon              
0C82	Salmon              
0C83	Salmon              
0C84	Goldfish            
0C85	Goldfish            
0C86	Goldfish            
0C87	Goldfish            
0C88	Piranha             
0C89	Piranha             
0C8A	Piranha             
0C8B	Piranha             
0C8C	Arowana             
0C8D	Arowana             
0C8E	Arowana             
0C8F	Arowana             
0C90	Eel                 
0C91	Eel                 
0C92	Eel                 
0C93	Eel                 
0C94	Freshwater Goby     
0C95	Freshwater Goby     
0C96	Freshwater Goby     
0C97	Freshwater Goby     
0C98	Angelfish           
0C99	Angelfish           
0C9A	Angelfish           
0C9B	Angelfish           
0C9C	Guppy               
0C9D	Guppy               
0C9E	Guppy               
0C9F	Guppy               
0CA0	Popeyed Goldfish    
0CA1	Popeyed Goldfish    
0CA2	Popeyed Goldfish    
0CA3	Popeyed Goldfish    
0CA4	Coelacanth          
0CA5	Coelacanth          
0CA6	Coelacanth          
0CA7	Coelacanth          
0CA8	Gelato Umbrella     
0CA9	Gelato Umbrella     
0CAA	Gelato Umbrella     
0CAB	Gelato Umbrella     
0CAC	Daffodil Parasol    
0CAD	Daffodil Parasol    
0CAE	Daffodil Parasol    
0CAF	Daffodil Parasol    
0CB0	Berry Umbrella      
0CB1	Berry Umbrella      
0CB2	Berry Umbrella      
0CB3	Berry Umbrella      
0CB4	Orange Umbrella     
0CB5	Orange Umbrella     
0CB6	Orange Umbrella     
0CB7	Orange Umbrella     
0CB8	Mod Umbrella        
0CB9	Mod Umbrella        
0CBA	Mod Umbrella        
0CBB	Mod Umbrella        
0CBC	Petal Parasol       
0CBD	Petal Parasol       
0CBE	Petal Parasol       
0CBF	Petal Parasol       
0CC0	Ribbon Parasol      
0CC1	Ribbon Parasol      
0CC2	Ribbon Parasol      
0CC3	Ribbon Parasol      
0CC4	Gingham Parasol     
0CC5	Gingham Parasol     
0CC6	Gingham Parasol     
