0000	          \r          \r          \r       Zero\r[close]
13E9	#7F0C 05 00 01##7F09 00 00 02#えーっ! [pause 6]せ、[pause 4]せいかいです![pause 12]\rどうして\rわかったんですか?\r[wait]\r[CLS]#7F09 00 00 07#いくら かくりつが\r3ぶんの1とはいえ、[pause 6]\rこうも あっさりあてられると\rおどろいちゃいました!\r[wait]\r[CLS]#7F09 00 00 0F#[pause 15]うーん、[pause 6]やっぱり\rちょうのうりょくしゃなのかしら?[wait]\rこれが なんどもつづくようなら\rまちがいないですけど。\r[wait]\r[CLS]#7F09 00 00 06#あっ! [pause 4]そうそう、[pause 6]\rまだやくそくのかぐ、[pause 6]\r「[string 22]」を\rわたしていませんでしたね!#7F0C 03 00 01#\r[wait]\r[CLS]#7F09 00 00 12#[pause 30]もちろん ちょうのうりょくしゃの\rあなたなら、[pause 6]すてきなかぐが\r[string 22]なのは\rわかってたんですよね、[pause 8][nickname]!\r[close]
13EA	#7F0C 02 00 05##7F0C 05 00 65##7F09 00 00 FF#・[pause 6]・[pause 6]・#7F09 00 00 17#[pause 6]はずれです。[pause 12]\rぜんぜん ちがいますよ、[pause 8]\r[nickname]。\r[wait]\r[CLS]#7F09 00 00 0F#[pause 20]うーん、[pause 6]\rすこしは きたいしてたのですが[pause 6]\rちょうのうりょくしゃなんて\rそう みつかりませんね。\r[wait]\r[CLS]#7F09 00 00 16#でもやくそくは やくそく、[pause 6]\r#7F0C 03 00 09#「[string 22]」を\r3000ベルで\rかっていただきますからね!\r[wait]\r[CLS]#7F09 00 00 FF##7F0C 03 00 12#ちょっと わりだかに\rなってしまったかもしれませんが、[pause 6]\rべんきょうだとおもって\rあきらめてくださいね、[pause 8][nickname]。\r[close]
13EB	#7F0C 02 00 06##7F0C 05 00 65##7F09 00 00 17#うーん、[pause 6]おしいですね![pause 12]\rさいしょは\rそれをえらんでいたのですが、[pause 6]\rあとでかえたんです。\r[wait]\r[CLS]#7F09 00 00 15##7F0C 03 00 09#ざんねんだったので、[pause 6]\rとくべつに 1000ベルで\rおゆずりしますわ、[pause 8][nickname]。\r[wait]\r[CLS]#7F09 00 00 FF##7F0C 03 00 12#ちなみに おゆずりするのは\r「[string 22]」ですよ。[pause 12]\rおきにめしていただけましたか?\r[close]
13EC	[close]
13ED	[close]
13EE	[close]
13EF	[close]
13F0	[close]
13F1	[close]
13F2	こんにちは。[pause 6]\rあそびに きてくれたんですね、[pause 12]\r[nickname]![wait]\r[CLS]いま [town]は、\r[year]の[month][date]の[pause 16]\r[hours][mins]です。[jump 13F4]\r[open]
13F3	こんどは、ちゃんと\rしてくださいね、[nickname]。[jump 13F4]\r[open]
13F4	#7F09 00 00 FF#それでは はじめますか?#7F09 09 00 01#\r[menu 004C 006F][wait]#7F0D#[selected 1 1403][selected 2 13F5][jump2sel]\r[open]
13F5	そのまえに\r#7F09 00 00 0B#なにをなさいます?[pause 6] [nickname]?\r[menu 0070 01B3 0029][default][wait]#7F0D#[selected 1 13F6][selected 2 1412][selected 3 13F4][jump2sel]#7F09 00 00 FF##7F09 09 00 03#\r[open]
13F6	どのように しましょうか?[menu 0074 0075 0076][wait]#7F0D##7F09 09 00 01#\rはい、[pause 6][recall] にしました。[jump 140D]\r[open]
13F7	とけいをあわせるんですね。\r[wait][jump 13F8][jump2sel]\r[open]
13F8	はい、[pause 6]あわせおわりました。\r[jump 13F4]\r[open]
13F9	#7F09 00 00 04#[pause 5]えっ![pause 18]\rおうちを とりこわすんですか?[wait]\r#7F09 00 00 17#とりこわせ というなら[pause 6]\rとりこわしますけど[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS]それでは、[pause 6]どなたのおうちを\rとりこわしましょうか?[default][wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 04#\r[open]
13FA	[string 2]さんの おうちを[pause 6]\rとりこわすんですね。[wait]\r[string 2]さんの\rきろくも なくなりますよ![wait]\r[CLS]ほんとうに、[pause 6]\r[string 2]さんの おうちを[pause 4]\r#7F09 00 00 0B#とりこわしても いいんですね?\r[menu 003D 0003][wait]#7F0D#[selected 2 13FC][selected 1 13FE][jump2sel]#7F09 00 00 FF##7F09 09 00 05#\r[open]
13FB	[string 2]さんの\rおうちですか[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS][string 2]さんは[pause 4]\rげんざい おでかけちゅうなので[pause 8]\rおうちを とりこわすことは\rできないんです。[wait]\r[CLS]もどってきたときに\rおうちがないと[pause 8]\rビックリしちゃいますものね。[wait]\r[CLS]ごきぼうに そえなくて[pause 6]\rごめんなさい、[pause 6][nickname]。\r[jump 13F4]\r[open]
13FC	それでは、[pause 6]\rおうちを とりこわします。[pause 12]\rしばらく おまちください。[pause 30]\r[CLS][color 195 95 0] おうちを とりこわしています\r\r[color 195 95 0]スイッチを きらないでください![sound 3]#7F09 09 00 01#\r[jump 13FD]\r[open]
13FD	[string 2]さんの おうちを\rとりこわしました。[wait]\r#7F09 00 00 17#さようなら、[pause 6]\r[string 2]さん#7F09 00 00 0D#[pause 4]・[pause 4]・[pause 4]・[jump 13F4]\r[open]
13FE	#7F09 00 00 15#おうちの とりこわしは\rやめるんですね。[wait]\r#7F09 00 00 0E#よかった! [pause 6]いなくなっちゃうと\rさみしいですもの、[pause 6][nickname]。[jump 13F4]\r[open]
13FF	#7F09 00 00 02#[pause 8]えっ!! [pause 6]ほんとうですか?[wait]\r#7F09 00 00 07#むらを つくりなおす\rということは[wait]\r[CLS]いまある [town]を[pause 6]\rすべて けしてしまう\rということなので[wait]\r[CLS][town]に\rすんでいる ひとが、[pause 8]\rひとりのこらず\rけされてしまうし[wait]\r[CLS]へやにおいてある\rかぐなんかも[wait]\r[CLS]みー[pause 4]んな、[pause 6]ぜー[pause 4]んぶ、[pause 6]\rきれいさっぱり なにもかも、[pause 8]\rきえて なくなってしまいますよ![wait]\r[CLS]おでかけちゅうの ひとがいたら、[pause 6]\rそのひとたちの かえるむらも[pause 4]\rなくなってしまう\rということですよ![wait]\r[CLS]それでも、ほんとうに\rそんな ことを\r#7F09 00 00 0B#してしまうんですか???\r[menu 0029 0003][wait]#7F0D#[selected 2 1400][selected 1 1402][jump2sel]#7F09 09 00 02#\r[open]
1400	#7F09 00 00 17#そうですか、[pause 8]けっしんは\rかわらないんですね。[wait]\rでは、[pause 4][town]を\rけしてしまいます。[pause 30]\r[CLS][color 195 95 0]   むらを けしています\r\r[color 195 95 0]スイッチを きらないでください![sound 3]#7F09 09 00 01#\r[jump 1401]\r[open]
1401	#7F09 00 00 FF#それでは、[pause 6]\rまたどこかで\rあいましょうね、[pause 6][nickname]。\r[close]
1402	#7F09 00 00 15#むらを つくりなおすのは\rやめるんですね!![wait]\r[CLS]#7F09 00 00 0E#よかったーーー!![pause 8]\rそのほうが イイですよ![pause 8]\rすんでる ひとたちも\rよろこびますよ!![wait]\r[CLS]かんがえなおしてくれて\rよかったです、[pause 6][nickname]![jump 13F4]\r[open]
1403	ところで あのー、[pause 8]\r#7F09 00 00 0B#どちらさまでしたっけ?[wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 06#\r[open]
1404	そうそう、\r[player]さんでしたね![pause 12]\r#7F09 00 00 15#もちろん おぼえていますよ。[pause 6]\rわすれてるはず ありませんよ![wait]\r[CLS]それでは、[pause 6]\rじゅんびを しますから\rしばらく まってくださいね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまたせしました。[wait]\r[CLS]#7F09 00 00 15#それでは、\r[town]の せいかつを\rたのしんでください、[pause 12]\r[nickname]。\r[close]
1405	やっぱり そうですよね。[pause 8]\rみたことない かただと\rおもったんです、[pause 6][nickname]。[wait]\r[CLS]それでは、[pause 6]\rじゅんびを しますから\rしばらく まってくださいね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまたせしました。[wait]\r[CLS]#7F09 00 00 15#それでは\rはやく[pause 8] [town]に\rとけこんで くださいね。\r[close]
1406	#7F09 00 00 02#[pause 8]あっ!![pause 18]\r#7F09 00 00 16#てつづきの とちゅうで[pause 6]\r[color #9 25 140 220]コントローラパックを\rぬかないで くださいね![wait]\r[CLS]なにが なんだか[pause 6]\rわからなくなって\rしまいますからね!![wait]#7F09 00 00 FF#\r[CLS][color #9 25 140 220]コントローラパックを\rしようするばあいは、\r[color #6 25 140 220]コントローラに\rそうにゅうしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてください、[pause 12]\r[nickname]!\r[jump 13F4]\r[open]
1407	おまたせしました。[wait]\r[CLS]#7F09 00 00 15#それでは、[pause 6]\r[town]の くらしを\rたのしんでくださいね。\r[close]
1408	えーっと[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS]#7F09 00 00 15#[string 3]さん![pause 8]\rおかえりなさい!![wait]\r[CLS][color #9 25 140 220]コントローラパックのきろくを\r[color #4 25 140 220]カセットに うつしますから\rしばらく まってくださいね。[pause 30]\r[CLS][color 195 95 0]  きろくを うつしています[pause 8]\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#[jump 1407]\r[open]
1409	おまたせしました。[wait]\r[CLS]#7F09 00 00 15#それでは、[pause 4]\r[town]での ひとときを\rまんきつしてください、[pause 12]\r[nickname]!\r[close]
140A	えーっと[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS]#7F09 00 00 15#[string 3]さん、ですね![pause 8]\r[town]へ ようこそ!![wait]\r[CLS]じゅんびを しますから\rしばらく おまちくださいね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#\r[jump 1409]\r[open]
140B	[player]さんの\rおうちしか [pause 6]のこっていません。[wait]\r[CLS]もうしわけありませんが[pause 8]\rすべての おうちを\rこわしてしまうことは\rできないんです。[wait]\r[CLS]ごきぼうに そえなくって\rごめんなさい、[pause 6][nickname]。[jump 13F4]\r[open]
140C	[color #9 25 140 220]コントローラパックの\rようりょうが たりません。[wait]\rこの[color #9 25 140 220]コントローラパックを\rつかうばあいは[wait]\r[CLS][color #9 25 140 220]コントローラパックの なかの\rふような データを\rけしてください、[pause 6][nickname]。[wait]\r[CLS][color #7 190 45 45]スタートボタンを おしながら\r[color #3 25 140 220]N64をリセットすると[wait]\r[CLS]データを けすための\rせんよう がめんを\rよびだすことができます。[wait]\r[CLS][color #9 25 140 220]コントローラパックを\rつかわない ばあいは\r[color #6 25 140 220]コントローラから\rとりはずしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてください、[pause 12]\r[nickname]!\r[jump 13F4]\r[open]
140D	おしゃべりするときの\rおとは、どうしましょう?[menu 00D1 00D2 00D3][wait]#7F0D##7F09 09 00 01#\r[CLS][recall] は、\rこんなかんじ ですけど[pause 8]\rこれで いいですか?[menu 0028 003D][default][wait]#7F0D#[selected 1 13F4][selected 2 140E][jump2sel]\r[open]
140E	それでは もういちど[pause 8]\rおとのせっていを\rやりなおしますね。[jump 13F6]\r[open]
140F	あら、[pause 6][player]さんは\rいま、[pause 6]がいしゅつしてることに\rなっていますよ。[wait]\r[CLS]のこっている きろくで[pause 4]\rあそぶことは できますけど[wait]\r[CLS]もちものや おかねは[pause 6]\rおでかけのときに\rもっていっちゃってるので[pause 6]\rなんにも のこっていません。[wait]\r[CLS]それでも [player]さんで\rあそびますか?[menu 0044 003D][default][wait]#7F0D#[selected 1 1410][selected 2 1411][jump2sel]#7F09 09 00 07#\r[open]
1410	わかりました。[wait]\rそれでは、[pause 6]\rじゅんびを しますから\rしばらく まってくださいね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまたせしました。[wait]\r[CLS]#7F09 00 00 15#それでは、[pause 6]\r[town]の せいかつを\rたのしんでください、[pause 12]\r[nickname]。\r[close]
1411	[player]さんでは\rないんですね。[wait]\r[CLS]それでは あのー、[pause 8]\r#7F09 00 00 0B#どちらさまでしょう?[wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 06#\r[open]
1412	#7F09 00 00 FF#あと できるのは\rこれくらいですけど、[pause 8]\rどうなさいますか? [pause 6][nickname]?\r[menu 0072 0073 0071 0029][default][wait]#7F0D#[selected 1 13F9][selected 2 13FF][selected 3 13F7][selected 4 13F4][jump2sel]#7F09 00 00 FF##7F09 09 00 03#\r[open]
1413	#7F09 00 00 17#[color 195 95 0]   コントローラパックに\r\r[color 195 95 0]かきこむことが できませんでした[wait]\r[CLS]いったん タイトルがめんに\rもどりますので、[wait]\r[CLS][color #9 25 140 220]コントローラパックの せつぞくを\rかくにんして、[pause 8]\rはじめから\rやりなおしてください。\r[close]
1414	ほかのひとですね。[pause 6]\rどなたのおうちを\rとりこわしましょうか?[default][wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 04#\r[open]
1415	・[pause 4]#7F09 00 00 0B#・[pause 4]・[pause 4]あら?[wait]#7F09 00 00 FF#\r[CLS][string 3]さんは\rすでに もどってきているのに[pause 8]\rもうひとり かえってきた![wait]\r[CLS]このまま\r[color #9 25 140 220]コントローラパックのきろくで\rはじめてしまうと[wait]\r[CLS]さきに もどっている\r[string 3]さんのきろくが\rきえてしまいますけど[wait]\r[CLS]それでも かまいませんか?[default][menu 0066 003D][wait]#7F0D#[selected 1 1416][selected 2 1417][jump2sel]#7F09 09 00 01#\r[open]
1416	わかりました。[pause 8]\r[color #9 25 140 220]コントローラパックのきろくを\r[color #4 25 140 220]カセットに うつしますから\rしばらく まってくださいね。[pause 30]\r[CLS][color 195 95 0]  きろくを うつしています[pause 8]\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#[jump 1407]\r[open]
1417	やっぱり やめるんですね。[wait]\r[CLS]それでは、[color #9 25 140 220]コントローラパックを\r[color #6 25 140 220]コントローラから\rとりはずしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてください、[pause 12]\r[nickname]!\r[jump 13F4]\r[open]
1418	#7F09 00 00 02#[pause 8]あっ!![pause 18]\r#7F09 00 00 16#てつづきの とちゅうで[pause 6]\r[color #9 25 140 220]コントローラパックを\rぬかないで くださいね![wait]\r[CLS]なにが なんだか[pause 6]\rわからなくなって\rしまいますからね!![wait]#7F09 00 00 FF#\r[CLS]いったん タイトルがめんに\rもどりますので、[pause 8]\r[color #9 25 140 220]コントローラパックを\rしようするばあいは、[wait]\r[CLS][color #6 25 140 220]コントローラに\rそうにゅうして、[pause 8]\rはじめから\rやりなおしてください。\r[close]
1419	[close]
141A	ヤッホー![pause 6]\rあそびに きてくれたのねー![pause 12]\r[nickname]![wait]\r[CLS]いま [town]は、\r[year]の[month][date]の[pause 16]\r[hours][mins]でーす。[jump 141C]\r[open]
141B	こんどは、ちゃんと\rやってよね! [pause 6][nickname]![jump 141C]\r[open]
141C	#7F09 00 00 FF#それじゃ はじめる?#7F09 09 00 01#\r[menu 004C 006F][wait]#7F0D#[selected 1 142B][selected 2 141D][jump2sel]\r[open]
141D	なになに?\r#7F09 00 00 0B#せっていを かえるの?[pause 12]\r[nickname]?[menu 0070 01B3 0029][default][wait]#7F0D#[selected 1 141E][selected 2 143A][selected 3 141C][jump2sel]#7F09 00 00 FF##7F09 09 00 03#\r[open]
141E	どんなふうに しちゃう?[menu 0074 0075 0076][wait]#7F0D##7F09 09 00 01#\rはい、[pause 6][recall] にしました。[jump 1435]\r[open]
141F	とけいをあわせるのね。\r[wait][jump 1420][jump2sel]\r[open]
1420	はい、[pause 6]あわせおわったよー!\r[jump 141C]\r[open]
1421	#7F09 00 00 04#[pause 5]うっそー![pause 18]\rおうちを こわしちゃうの?[wait]\r#7F09 00 00 17#こわせ って いうんなら[pause 6]\rこわすけどー。[wait]\r[CLS]そしたら、[pause 6]だれのおうちを\rこわしたいのか おしえて?[default][wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 04#\r[open]
1422	[string 2]ちゃんの おうちを[pause 6]\rこわしちゃうのね。[wait]\r[string 2]ちゃんの\rきろくも なくなるよ![wait]\r[CLS]ほんとーに、[pause 6]\r[string 2]ちゃんの おうちを[pause 4]\r#7F09 00 00 0B#こわしちゃって いいの?\r[menu 003D 0003][wait]#7F0D#[selected 2 1424][selected 1 1426][jump2sel]#7F09 00 00 FF##7F09 09 00 05#\r[open]
1423	[string 2]ちゃんの\rおうち[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS][string 2]ちゃんは[pause 4]\rいま おでかけちゅうなのね。[wait]\rだから おうちを こわすことは\rできないんだー。[wait]\r[CLS]だってさー、もどってきたときに\rおうちが なかったら[pause 8]\rビックリしちゃうっしょー![wait]\r[CLS]できなくって ごめーん、[pause 6]\rゆるしてねー、[pause 6][nickname]!\r[jump 141C]\r[open]
1424	それでは、[pause 6]\rおうちを こわしちゃうよ。[pause 12]\rしばらく まっててね。[pause 30]\r[CLS][color 195 95 0] おうちを とりこわしています\r\r[color 195 95 0]スイッチを きらないでください![sound 3]#7F09 09 00 01#\r[jump 1425]\r[open]
1425	[string 2]ちゃんの おうち、[pause 12]\rこわしちゃいました。[wait]\r#7F09 00 00 17#バイバイ、[pause 6]\r[string 2]ちゃん#7F09 00 00 0D#[pause 4]・[pause 4]・[pause 4]・[jump 141C]\r[open]
1426	#7F09 00 00 15#おうちを こわすのは\rやめるのね。[wait]\r[CLS]#7F09 00 00 0E#よかったー![pause 12]\rオトモダチが へっちゃうと[pause 6]\rさみしいもん、[pause 6][nickname]![jump 141C]\r[open]
1427	#7F09 00 00 02#[pause 8]えっ!! ホンキなの!?[wait]\r#7F09 00 00 07#むらを つくりなおす\rってことは[wait]\r[CLS]いまある [town]を[pause 6]\rぜーんぶ けしちゃうってことで[wait]\r[CLS][town]のひとが、\rぜーんぶ [pause 8]ひとりのこらず、[pause 12]\rこの アタイも\rきえちゃうのよ![wait]\r[CLS]おへやにおいてある\rかぐなんかも[pause 12]\rみーんな いっしょに\rきえちゃうんだから![wait]\r[CLS]おでかけちゅうの ひとがいたら、[pause 6]\rそのひとたちの かえるむらも[pause 4]\rなくなっちゃうのよ![wait]\r[CLS]それでも ホントーに、\rそんな ことを\r#7F09 00 00 0B#しちゃうつもりなの???\r[menu 0029 0003][wait]#7F0D#[selected 2 1428][selected 1 142A][jump2sel]#7F09 09 00 02#\r[open]
1428	#7F09 00 00 17#そう、[pause 8]そこまで いうなら\rしかたないわねー。[wait]\rそれじゃ、[town]を\rけしちゃいますね。[pause 30]\r[CLS][color 195 95 0]   むらを けしています\r\r[color 195 95 0]スイッチを きらないでください![sound 3]#7F09 09 00 01#\r[jump 1429]\r[open]
1429	#7F09 00 00 FF#またどこかで\rあえるといいね。[pause 8]\rバイバーイ! [pause 6][nickname]!\r[close]
142A	#7F09 00 00 15#むらを つくりなおすのは\rやめるのね!![wait]\r[CLS]#7F09 00 00 0E#よかったーーー!![pause 8]\rそのほうが イイって![pause 8]\rすんでる ひとたちも\rよろこぶし!![wait]\r[CLS]かんがえなおしてくれて\rよかった![pause 6][nickname]![jump 141C]\r[open]
142B	ところで えーっと、[pause 8]\r#7F09 00 00 0B#アンタ だれだっけ?[wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 06#\r[open]
142C	ゴメン ゴメーン!\r[player]ちゃん だったよね![pause 12]\r#7F09 00 00 15#ちょっと ドわすれしちゃった![pause 6]\rおこんないでよー![wait]\r[CLS]そしたら\rじゅんびを するからさー、[pause 8]\rちょっとだけ まってね![pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまちどーさまー![wait]\r[CLS]#7F09 00 00 15#それでは、\r[town]の せいかつを\rたのしんでね、[pause 12]\r[nickname]。\r[close]
142D	やっぱ そうでしょー![pause 8]\rみたことない ひとだと\rおもったんだよねー、[pause 6][nickname]。[wait]\r[CLS]それじゃ、[pause 6]\rじゅんびを するからー、\rちょっとだけ まってねー。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまちどーさまー。[wait]\r[CLS]#7F09 00 00 15#それでは\rはやく[pause 8] [town]に\rとけこんでねー! [pause 6][nickname]!\r[close]
142E	#7F09 00 00 02#[pause 8]あっ!![pause 18]\r#7F09 00 00 16#てつづきの とちゅうで[pause 6]\r[color #9 25 140 220]コントローラパックを\rぬかないでね![wait]\r[CLS]たいせつな きろくが[pause 8]\rなくなっちゃったら\rこまるもんね!![wait]#7F09 00 00 FF#\r[CLS][color #9 25 140 220]コントローラパックを\rしようするばあいは、\r[color #6 25 140 220]コントローラに\rそうにゅうしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてください、[pause 12]\r[nickname]!\r[jump 141C]\r[open]
142F	おまたせー![wait]\r[CLS]#7F09 00 00 15#そしたら、[pause 6]\r[town]の くらしを\rたのしんでちょうだいねー!\r[close]
1430	えーっと[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS]#7F09 00 00 15#あっ! [string 3]ちゃん![pause 8]\rおかえりなさーーーい!![wait]\r[CLS][color #9 25 140 220]コントローラパックのきろくを\r[color #4 25 140 220]カセットに うつすから\rちょっとだけ まっててね。[pause 30]\r[CLS][color 195 95 0]  きろくを うつしています[pause 8]\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#[jump 142F]\r[open]
1431	おまたせー。[wait]\r[CLS]#7F09 00 00 15#それでは、[pause 4]\r[town]での ひとときを\rまんきつしてねー、[pause 12]\r[nickname]!\r[close]
1432	えーっと[pause 4]・[pause 4]・[pause 4]・[wait]\r[CLS]#7F09 00 00 15#[string 3]ちゃん、だよね![pause 8]\r[town]へ ようこそー!![wait]\r[CLS]じゅんびを するので\rちょっとだけ まっててね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#\r[jump 1431]\r[open]
1433	[player]ちゃんの\rおうちしか [pause 6]のこってないので\rこわせませーん。[wait]\r[CLS]おうちを ぜーんぶ\rこわしてしまうことは[pause 8]\rできないんです。[wait]\r[CLS]わがまま いっちゃって\rごめんねー、[pause 6][nickname]。[jump 141C]\r[open]
1434	[color #9 25 140 220]コントローラパックの\rようりょうが たりません。[wait]\rこの[color #9 25 140 220]コントローラパックを\rつかうばあいは[wait]\r[CLS][color #9 25 140 220]コントローラパックの なかの\rふような データを\rけしてください、[pause 6][nickname]。[wait]\r[CLS][color #7 190 45 45]スタートボタンを おしながら\r[color #3 25 140 220]N64をリセットすると[wait]\r[CLS]データを けすための\rせんよう がめんを\rよびだすことができます。[wait]\r[CLS][color #9 25 140 220]コントローラパックを\rつかわない ばあいは\r[color #6 25 140 220]コントローラから\rとりはずしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてください、[pause 12]\r[nickname]!\r[jump 141C]\r[open]
1435	おしゃべりするときの\rおとは、どうしちゃう?[menu 00D1 00D2 00D3][wait]#7F0D##7F09 09 00 01#\r[CLS][recall] は、\rこんなかんじなんだけど[pause 8]\rこれで いい?[menu 0028 003D][default][wait]#7F0D#[selected 1 141C][selected 2 1436][jump2sel]\r[open]
1436	それでは、もういちど\rえらびなおしてね。[jump 141E]\r[open]
1437	あれ? [pause 6][player]ちゃんは\rいま、[pause 6]がいしゅつしてることに\rなってるわよ。[wait]\r[CLS]のこっている きろくで\rあそぶことは できるけど[wait]\r[CLS]もちものや おかねは[pause 6]\rおでかけのときに\rもっていっちゃってるし[pause 6]\rなんにも のこってないよ。[wait]\r[CLS]それでも、[player]ちゃんで\rあそぶ? [pause 6][nickname]?[menu 0044 003D][default][wait]#7F0D#[selected 1 1438][selected 2 1439][jump2sel]#7F09 09 00 07#\r[open]
1438	そうなんだ。[wait]\rそれじゃ、[pause 6]\rじゅんびを するから\rちょっと まってね。[pause 30]#7F09 00 00 FF#\r[CLS][color 195 95 0]  じゅんびを しています\r\r[color 195 95 0]スイッチを きらないでください![sound 4]#7F09 09 00 01#\r[wait]\r[CLS]おまたせしました。[wait]\r[CLS]#7F09 00 00 15#[town]の せいかつを\rたのしんでね、[pause 6][nickname]。\r[close]
1439	[player]ちゃんじゃ\rないのね。[wait]\r[CLS]ってことは、[pause 8]\r#7F09 00 00 0B#アンタって だれなの?[wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 06#\r[open]
143A	#7F09 00 00 FF#あと できるのは\rこんくらいなんだけど、[pause 8]\rどうしちゃうわけ? [pause 6][nickname]?\r[menu 0072 0073 0071 0029][default][wait]#7F0D#[selected 1 1421][selected 2 1427][selected 3 141F][selected 4 141C][jump2sel]#7F09 00 00 FF##7F09 09 00 03#\r[open]
143B	#7F09 00 00 17#[color 195 95 0]   コントローラパックに\r\r[color 195 95 0]かきこむことが できませんでした[wait]\r[CLS]いったん タイトルがめんに\rもどるから、[wait]\r[CLS][color #9 25 140 220]コントローラパックの せつぞくを\rかくにんして、[pause 8]\rさいしょから やりなおしてね。\r[close]
143C	ほかのひとね。[pause 8]\rだれのおうちを\rこわしたいのか おしえて?[default][wait]#7F0D#[jump2sel]#7F09 00 00 FF##7F09 09 00 04#\r[open]
143D	・[pause 4]#7F09 00 00 0B#・[pause 4]・[pause 4]あら?[wait]#7F09 00 00 FF#\r[CLS][string 3]ちゃんは\rもう もどってきているのに[pause 8]\rまたひとり かえってきた![wait]\r[CLS]このまま\r[color #9 25 140 220]コントローラパックのきろくで\rはじめてしまうと[wait]\r[CLS]さきに もどっている\r[string 3]ちゃんのきろくが\rきえちゃうけど[wait]\r[CLS]それでも かまわないの?[default][menu 0066 003D][wait]#7F0D#[selected 1 143E][selected 2 143F][jump2sel]#7F09 09 00 01#\r[open]
143E	オッケー![pause 8]\r[color #9 25 140 220]コントローラパックのきろくを\r[color #4 25 140 220]カセットに うつすから\rしばらく まっててね。[pause 30]\r[CLS][color 195 95 0]  きろくを うつしています[pause 8]\r[color 195 95 0]スイッチを きらないでください![pause 6]\r[color 195 95 0]コントローラパックを\r[color 195 95 0]      ぬかないでください![sound 4]#7F09 09 00 01#[jump 142F]\r[open]
143F	やっぱり やめるのね。[wait]\r[CLS]それでは、[color #9 25 140 220]コントローラパックを\r[color #6 25 140 220]コントローラから\rとりはずしてください。[wait]\r[CLS]よういが できたら\r[color #4 50 75 225]Aボタンを おしてね、[pause 12]\r[nickname]!\r[jump 141C]\r[open]
