0000	これはツールメイル0\r\r\r\r\r\r
0181	きょうかぎり\rてがみをかくのは\rやめますね\rよむのがめんどう\rくさそうだから\r\r
0182	シンシンと\rゆきふるよるに\rやってくる\rやさしいえがおの\rサンタクロース\r\r
0183	もみのきの\rきらめくほしは\rみちしるべ\rサンタがまいごに\rならないように\r\r
0184	とおくから\rいつもしあわせ\rいのってる\rきょうというひを\rかみさまにかんしゃ\r\r
0185	まちこがれ\rあなたがかぞくに\rくわわった\rきのうのように\rおもいだすきょう\r\r
0186	すんだそら\rつきがとっても\rきれいだわ\rなんどもなんども\rおつきみしたい\r\r
0187	たいふうが\rくるかとおもうと\rしんぱいで\rそれてしまうと\rちょっとがっかり\r\r
0188	マツタケごはん\rかあさんよりも\rとうさんに\rマツタケたくさん\rいれてだす\r\r
0189	マツタケを\rよけてのこして\rたべないで\rそれじゃあただの\rちゃいろいごはん\r\r
018A	とっかひん\rきょうもさんまと\rなげくとうさん\r\r\r\r
018B	てをひいて\rふたりであるいた\rなみきみち\rことしもきれいに\rいろづいてます\r\r
018C	ゆきとけて\rいつもよりながい\rさんぽみち\r\r\r\r
018D	ひとりでは\rたいへんなことも\rあるけれど\rあきらめないで\rがんばんなさい\r\r
018E	このまえね\rタンスのうらから\rゴキブリが\r2ひきもでてきて\rとてもビックリ\r\r
018F	うららかな\rはるのようきに\rさそわれて\rひなたぼっこの\rアゲハチョウ\r\r
0190	おてんきに\rつられてでかけて\rみるものの\rどこへいっても\rおやこづればかり\r\r
0191	さつきばれ\rきもちのいいひに\rできました\rあなたに にあう\rそらいろのふく\r\r
0192	なつにむけ\rおよぐれんしゅう\rはじめたの\rかれいなフォームで\rもぐるのがとくい\r\r
0193	きぶんよく\rせんたくものを\rほしてたら\rあまぐもでてきて\rきぶんさいあく\r\r
0194	クーラーを\rいれてねたのに\rおかしいわ\rかぜはでてこず\rあせがでてくる\r\r
0195	にわさきの\rアサガオひらいて\rこんにちは\rいっしょにうえたの\rおぼえてるかな\r\r
0196	かあさんの\rみずぎすがたは\rまぶしいと\rこっちをみないで\rほめるとうさん\r\r
0197	ああ、あつい\rながしそうめん\rたべたいわ\r\r\r\r
0198	なつのそら\rスイカにはなびに\rかぶとむし\rわたしもほしいわ\rなつのおやすみ\r\r
0199	ねぐるしい\rこんなよるには\rおもいだす\rあせもしっしんおむつかぶれ\rよなきむずかりかんのむし\rで ねむれなかったおまえ\r
019A	ふうりんの\rおとにさそわれ\rついひるね\rおきたらめじりに\rからすのあしあと\r\r
019B	あおいうみ\rじかんもわすれて\rかいすいよく\rゆうやけこやけで\rせなかもひやけ\r\r
019C	とおくから\rなくこえきこえる\rむしのこえ?\rおおものねらって\rレッツゴー!\r\r
019D	あおいそら\rあおいうみに\rあおいかお\rなつカゼひいて\rブルーなかあさん\r\r
019E	めっきりと\rひえこんできたので\rきをつけて\rフルーツたべて\rビタミンほきゅう\r\r
019F	かあさんが\rよなべーをして\rてぶくーろ\rあもうとしたら\rセーターになっちゃった\r\r
01A0	かぜのとき\rのどにはネギを\rまいてみて\rねつがあるなら\rタマゴざけだよ\r\r
01A1	ひさびさに\rとうさんとつくる\rゆきだるま\rできたのみれば\rあなたそっくり\r\r
01A2	さむいひは\rカタツムリならぬ\rコタツムリ\r\r\r\r
01A3	あさおきて\rあなたがいないの\rおもいだし\rあと5ふんだけと\rふとんにもどる\r\r
01A4	A HAPPY NEW YEAR\rむらのみなさん!\rことしも おかいものは\rうちのおみせを よろしくだなも!           たぬきち\r\r\r
01A5	 ～ きしょうじょうほう ～\rへいねんなみの せきせつがあり\rかまくら、ゆきだるまなどは\rつくりやすいでしょう。\rきおんは ややたかく\rいけのみずは こおらないみこみ。\r
01A6	もうすぐ バレンタインデー!\rだいすきな おんなのこから\rプレゼントがほしいキミ!\rポストのせいりを おわすれなく。はいたつは まかせておくれ!\r         By ぺりお\r\r
01A7	ことしの バレンタインデーも\rみんなの プレゼントの\rはいたつだけで おわっちゃった。いつになったら もらえるんだろ?\r\r\r\r
01A8	もうすぐ もうすぐ\rひなまつり なんだなも!\rかわいらしい「ひなにんぎょう」をちんれつちゅう。いまをのがすと\rらいねんまで かえません、だも。        [string 2]\r\r\r
01A9	ホワイトデーまで 2しゅうかん。ボーイフレンドからのプレゼントもポストに はいらないと\rへんぴんされてしまいますよ。\rポストのせいりを わすれずに!\r  ゆうびんきょくの ぺりこより\r\r\r
01AA	   ～ かいかよそう ～\rひにひに あたたかさをます\rきょうこのごろ。つぼみも すでにふくらんで、4がつ1にちごろには7ぶざきに なるでしょう。\rみごろは、5かごろのもようです。\r\r\r
01AB	    ～ おしらせ ～\r  おはなみ だいえんかい\r\r   4がつ 5～7にち\r おやしろひろばに あつまれ!\rはなよりダンゴも オッケー!!!\r
01AC	[string 1]に おすまいの\rみなさん! もうすぐ\rはるの うんどうかいで\rありますね! ホンカンも\rラジオたいそうにさんかしますのでよろしく、であります。\r\r
01AD	   ～ おしらせ ～\r はるの だいうんどうかい\r\r   4がつ 20にち\rおやしろひろばに しゅうごう!\rプログラムは ごじつはっぴょう!\r
01AE	～ うんどうかい プログラム ～\r   9じ ラジオたいそう\r  11じ ときょうそう\r  13じ たまいれたいかい\r  15じ つなひきたいかい\r\r
01AF	もうすぐ もうすぐ\rたんごのせっく なんだなも!\rえんぎものの 「よろいかぶと」をちんれつちゅう! このきかいに\rぜひ おかいもとめください!\r        [string 2]\r\r
01B0	 ～ きしょうじょうほう ～\rしばらく [string 1]では\rさつきばれの あたたかいひが\rおおくなるでしょう。\rことしの ツユいりは\r6がつ ちゅうじゅんのもよう。\r
01B1	    ～ おしらせ ～\r しょかの バスつりたいかい!\r\r   6がつの まいしゅう\r     にちようび\r  おおものを ゲットせよ!!\r
01B2	たいかい だい1しゅうのけっかはいかがでした? ズビビビビ。\rつぎの にちようびも、たくさんのしょうひんを よういしてますよ。がんばらないとね、ズビズビ。\r           うおまさ\r\r\r\r
01B3	ズビズビ、つぎのにちようびで\rつりたいかいも おしまいです。\rさいごに たっぷり\rブラックバスを たべさして。\rきたいしてますよ、ズビズビ!\r           うおまさ\r
01B4	 ～ きしょうじょうほう ～\r[string 1]の ことしの\rツユあけは 7がつ16にちごろになるもようです。 ツユあけごは\rなつぞらがひろがり あついひが\rつづくでしょう。\r\r
01B5	    ～ おしらせ ～\r  はやおき ラジオたいそう\r\r   7がつ25にちから\r   8がつ31にちまで \r  あさ6じ おやしろひろば\r
01B6	きょうから まいあさ6じに\rおやしろひろばに あつまれ!\rなつのあさといえば\rラジオたいそう であります!\rホンカンは まいにち\rまっている であります!!!\r
01B7	    ～ おしらせ ～\r    はなび たいかい\r\r8がつの まいしゅう どようび\r よる7じ うちあげかいし!\rこれをみないと なつじゃない!\r
01B8	あーあ つまんない。\rみんなは いいわね、\rはなびたいかいを みにいけて。\rあたしは ひとりさみしく\rしごとよ、し・ご・と!\rどうせ、だれもこないのに!\r
01B9	とうとう あしたで\rラジオたいそうも さいしゅうび\rであります!\rみなさん まいにち\rごくろうさまで ありました!\rそしてなつも おわりであります!\r
01BA	   ～ おしらせ ～\r  じゅうごやの おつきみ\r\r  [string 3] ごご6じ\r いけのほとりで まんげつを\rたっぷり ゆっくり ながめよう。\r
01BB	 ～ きしょうじょうほう ～\r9がつは たいふうのえいきょうでつよいあめが ふりやすいですが\r10がつにはいると あきばれが\rつづくみこみです。 まさに\rこうらくのアキとなるでしょう。\r\r
01BC	   ～ おしらせ ～\r  じゅうさんやの おつきみ\r\r  [string 4] ごご6じ\r  じゅうさんやのつきも\rのんびり じっくり ながめよう。\r
01BD	もうすぐ あきのうんどうかい。\rわたしは おしごとで\rさんかできませんけど、\rみなさん スポーツのあきを\rまんきつしてくださいね。\r            ぺりこ\r
01BE	   ～ おしらせ ～\r あきの だいうんどうかい\r\r    [string 5]\rおやしろひろばに しゅうごう!\rプログラムは ごじつはっぴょう!\r
01BF	 ～うんどうかい プログラム～\r\r   9じ ラジオたいそう\r  11じ ときょうそう\r  13じ たまいれたいかい\r  15じ つなひきたいかい\r
01C0	 ～ みみより じょうほう ～\rあきのみかくといえば マツタケ!どうやら ことしも\rあと 4、5にちすると\rはえてきそうな よかんがします。でも はやいものがち!!\r\r\r
01C1	ハロウィンようの キャンディーのはんばいを はじめました!\rそなえあれば うれいなし。\rたくさんかっておけば 31にちもあんしんだなも。\r        [string 2]\r\r\r
01C2	    ～ おしらせ ～\r   ハロウィンのイベント\r\r    10がつ31にち\rくらくなったら がいしゅつきんしひどいめにあっても しらないよ!\r\r
01C3	    ～ おしらせ ～\rばんしゅうの バスつりたいかい!  11がつの まいしゅう\r     にちようび\r ひごろのウデの みせどころ!\r\r\r
01C4	たいかい だい1しゅうのけっかはいかがでした? ズビビビビ。\rつぎの にちようびも、たくさんのおサカナを つってくださいよ!\rおいしいからね、ズビズビ。\r           うおまさ\r\r\r
01C5	 ～ きしょうじょうほう ～\r11がつは こゆきがちらつくひがおおくなり あさばんのひえこみもきびしくなるでしょう。\rそのえいきょうで くさばなにも\rダメージがでるもようです。\r\r\r
01C6	ズビズビ、つぎのにちようびで\rつりたいかいも おしまいです。\rくいのないように ちからのかぎりブラックバスを たべることを\rちかいます! ズビズビ。\r           うおまさ\r\r
01C7	 ～ おおゆき けいほう ～\rあすは つよいかんぱに おおわれ[string 1] ぜんいきで\rおおゆきが ふるもようです。\rがいしゅつじは くれぐれも\rおきをつけください。\r\r
01C8	ハーイ! ジングルだよ!!\rことしもまた クリスマスイブに\rプレゼントをおとどけに\rうかがいます! ポストをあけて\rまっててね! くれぐれも\rしごとのじゃまは しないでよ!\r
01C9	    ～ おしらせ ～\rニューイヤー カウントダウン!!   12がつ 31にち\r  23じ びょうよみかいし!\r   いけのほとりにあつまれ\rいっしょにしんねんをむかえよう!\r\r
01CA	    ～ おしらせ ～\r1ねんのけいは がんたんにあり。むらのおやしろでは みなさんの\rおまいりを おまちしております。とうじつは ハッケミィさんによるおみくじはんばいも ございます。\r\r\r\r
01CB	 ポストは まいにち\r       チェックしよう!\rポストが まんたんだと\rてがみのはいたつが できません。はいたつに ごきょうりょくを!\r          ぺりお\r\r
01CC	    ～ おねがい ～\r いらないものを そのへんに\r すてないようにしましょう。\r  ゴミは ゴミすてばに!!\r ふようひんの かいしゅうは\r げつようと もくようです。\r
01CD	\r\r\r\r\r\r
01CE	\r\r\r\r\r\r
01CF	\r\r\r\r\r\r
01D0	\r\r\r\r\r\r
01D1	\r\r\r\r\r\r
01D2	\r\r\r\r\r\r
01D3	\r\r\r\r\r\r
01D4	\r\r\r\r\r\r
01D5	\r\r\r\r\r\r
01D6	\r\r\r\r\r\r
01D7	\r\r\r\r\r\r
01D8	\r\r\r\r\r\r
01D9	\r\r\r\r\r\r
01DA	\r\r\r\r\r\r
01DB	\r\r\r\r\r\r
01DC	アジアなへやを めざすなら\rテーブル、イス、ベッド、タンス、クロゼット、ミニテーブル、そしてベンチやランプなどを\rアジアなかんじで そろえてみて!\r\r\r\r
01DD	ラブリーなへやに したいなら\rテーブル、チェア、ベッド、\rソファ、ローテーブル、ドレッサーそれから、クロゼットやスタンド、ほかにも いろいろ\rラブリーに そろえてみて!\r\r\r
01DE	シックなかんじで まとめるなら\rテーブル、イス、ベッド、ビューロソファ、かざりだな、ふりこどけいタンス、クロゼット、そのほかと\rじゅうたん、かべがみを\rシックなもので そろえてみて!\r\r\r
01DF	カントリーが おこのみならば\rじゅうたんや かべがみをはじめ、テーブル、ソファL、イス、ベッドタンス、クロゼット、ソファなど\rいろいろなものを\rカントリーで そろえてみて!\r\r\r
01E0	リゾートきぶんに ひたるなら\rソファ、テーブル、イス、ベッド\rランプ、ドレッサー、クロゼット\rラックなど いろいろなものを\rリゾートっぽく そろえてみて!\r\r
01E1	ロイヤルなかんじが おスキなら\rじゅうたん・かべがみは もちろんタンス、クロゼット、ドレッサー、ソファ、ベッド、しょっきだな、\rテーブル、そのたモロモロを\rロイヤルに まとめてみて!\r\r\r
01E2	あおいおへやが おこのみなら\rチェスト、ほんだな、ベッド、イステーブル、ベンチ、クロゼット\rタンス、そのほか いくつかと\rじゅうたん、かべがみも\rあおばっかりで そろえてみて!\r\r
01E3	モノクロずきの あなたなら\rじゅうたんも かべがみも\rタンスも ローテーブルも\rテーブルも ベッドも チェアも\rボードも そのほかもぜんぶ\rモノクロで まとめてみて!\r
01E4	みどりをあいする あなたなら\rタンス、チェスト、クロゼット、\rベッド、ながイス、カウンター、\rそれから ほかにもあるけど\rとにかく いろいろ\rみどりで そろえてみて!\r
01E5	ログハウスずきの あなたなら\rテーブル、ソファ、ベッド、チェアクロゼット、ボード、はとどけい\rそのほか ログなかんじのものは、てあたりしだいに あつめてみて!\r\r\r\r
01E6	カラフルなへやが おスキなら\rタンス、ビューロ、クロゼット\rソファ、ほんだな、イス、ベッド\rそのたの カラフルなシリーズを\rじゅうたん、かべがみもふくめて\rぜんぶカラフルに まとめてみて!\r
01E7	おみせなどでは ぜったいに\rてにはいらない しながあります。ハッピールーム・アカデミーでも\rしょうさいは、つかめていません。このけんにかんして、ごあんないができませんことを おわびします。\r\r\r\r
01E8	みために すっきりさせるには\rおなじシリーズのかぐを\rあつめることを おすすめします。どんなシリーズが あるのかは、\rかぐのなまえに ちゅういすれば\rわかるはずよ!\r\r
01E9	かってきたものを\rたくさん ならべただけでは、\rこうとくてんは のぞめません。\rいるものと いらないものを\rよーくかんがえて、すっきりした\rおへやを めざしてね!\r
01EA	げんじつてきなおへやを\rめざすのもいいけど、\rおとずれた おきゃくさんが\rビックリするような、ふしぎな\rくうかんも みりょくてき。\rそれは あなたの センスしだい!\r
01EB	おへやぜんたいの とういつかんもたいせつだけど、それはたいへん。おてがるに おなじようなものの\rセットを あつめてみるのも\rいいとおもうわ! どんなセットがあるかは、じぶんでさがしてみて!\r\r\r\r
01EC	ねんに1かいの イベントでしか\rてにはいらない レアものや、\rふくびきの けいひんなんかは、\rそれだけで ポイントたかいわ。\rくろうしたぶん よろこびも\rおおきいっていうことね!\r
01ED	かぐは、つかえて はじめて\rイミがあります。\rたとえばタンス。かべにむけて\rおいてあっても つかえないわね。そういうものは もんだいがい。\rようしゃなく げんてんするわ!\r\r
01EE	ひとりっきりで あつめていても\rほしいかぐは なかなか\rてに はいりません。\rごきんじょの おともだちと\rきょうりょくしながら\rあなたのおへやを つくってね!\r
01EF	ごにゅうかい いただきまして\rありがとうございます。\rあなたのセンスを いかして\rひとに じまんできるような\rステキなおへやを\rつくりあげてくださいね。\r
01F0	～ [string 3]は\r  ほしくありませんか? ～\rせんちゃく1めい\r[string 4]ちょうめ [string 5]ばんちに\rうめておきました。\r      [string 2]\r
01F1	♪ たからさがしのおしらせ ♪\rとっても いいものを\rうめてみました。 ばしょは\r[string 4]ちょうめ [string 5]ばんちです。\rなにがでるかは、おたのしみ♪\r      [string 2]\r
01F2	[string 3]を\rおゆずりします。\r[string 4]ちょうめに\rうめたので みつけてくださいね。もしかしたら もうないかも $s\r\r\r
01F3	[string 4]ちょうめ [string 5]ばんちに\rいいものを うめといたわ!\rなかみはナイショだけど\rみつけれるものなら\rみつけてみなさい!\r      $h[string 2]$h\r
01F4	～ [string 6]こうれいの\r  たからさがしゲーム! ～\r\r[string 4]ちょうめのどこかを\rほってみてね!\r      $h[string 2]$h\r
01F5	[string 3]が\rほしいひと!\r[string 4]ちょうめ [string 5]ばんちで\rアナをほるべし! ほるべし!!\rただし なくなってても\rしらないわよ♪\r
01F6	ボクの だいじなたからものを\r[string 4]ちょうめの\rどこかにうめといたよぉ。\rもったいないけどぉ、\rみつけたひとに あげちゃうね。\r       [string 2]より\r
01F7	[string 6]のみんなへ・・\r[string 4]ちょうめ [string 5]ばんちに\rすごいもの うめちゃったぁ$s\rみつけられるものなら \rみつけてみてよぉ! \r       [string 2]より\r
01F8	[string 5]ばんちのどこかに\r[string 3]うめたよ。\rくやしいけど、\rさいしょに みつけたひとに\rタダで あげちゃおーかなぁ。\r       [string 2]より\r
01F9	[string 6]のみんなぁー!\r[string 2]ニュースだぁー!\r[string 4]ちょうめのどこかに\rスゲエものを うめといたぞ! \rみつけたやつにタダでやるよー!\rはやいものがちだぞー!!\r
01FA	おいら、[string 2]。\rみんなが だいすきなものを\r[string 6]の[string 4]ちょうめの\rどこかに うめといたぞ!\rみつけたら、タダでやるから\rさがしてみなぁー!\r
01FB	[string 4]ちょうめの[string 5]ばんちに\rおいら、[string 2]の \rたからものを うめといた!\rぜひ、スポーツマンシップに\rのっとって、\rたからさがしをしてくれ!    \r
01FC	よぉ、[string 2]さまだぜ+!\r\r[string 4]ちょうめ [string 5]ばんちのどこかに、[string 3]をうめた。\rブツは みつけたヤツのもんだ。\rいそいで さがせ!\r\r
01FD	たからさがしゲーム するぞ!\r[string 3]をうめた。\rばしょは [string 4]ちょうめの・・・\rこれいじょうは いえねぇ、\rあとは じぶんで さがしてくれ!せんちゃく1めい かぎりだぜ。\r\r
01FE	$sみつけたヤツに プレゼント!$s[string 5]ばんちのどこかに、\r[string 3]うめたぜ!\rこれいじょうのヒントは なしだ。いますぐ さがせ!\r       by [string 2]\r\r\r
01FF	♪♪おたから うめたのよねー♪♪\r[string 4]ちょうめ [string 5]ばんちの\rどこかに、[string 3]\rうめたわよ。 はやいものがち!\rいそいで さがしてみてね♪\r\r
0200	$sヒマだったら やってみてね!$s[string 5]ばんちの じめんを\rよーく しらべてみて!\r[string 3]みつけたら\rおたくに あげるわよ$h すでに\rほられちゃってたら ごカンベン$d\r\r
0201	$h$h$hみつけたら あげるよ$h$h$h[string 5]ばんちのどこかに、\r[string 3]うめたの!\rこれだけのヒントで、おたくに\rみつけること できるかしら?\rせんちゃく1めい かぎりよ♪♪\r\r
0202	オラをつくってくれたおれいズラ。なんでもひやせる、\r[string 1]を\rあげるズラよ$s\r\r\r\r
0203	「ゆきだるましょくにん」のわざ、しかとみせてもらったズラ!\rそんなキミには\r[string 1]を\rプレゼント!\rこれもしょくにんわざダス$s\r\r
0204	このあいだは オラをりっぱに\rしあげてくれてかんしゃズラ!\rおれいの [string 1]、\rひんやりして\rきもちいいズラよ!\r・・・ウソウソ、あったかいダス$s\r
0205	おれいのシルシに\r[string 1]をあげるダス!\rどだいがシッカリしてるから\rらんぼうにすわっても\rこわれないズラよ$s\r\r
0206	キミのへやは くらくないダスか?オラをつくってくれたおれいに\rこの [string 1]を\rあげるズラ!\rキミのひえたこころにも\rあかりをともすダス$s\r\r
0207	オラを つくってくれたおれいに\rゆったり こしかけられる\r[string 1]をあげるダス!\rただし、まんなかにすわるときは\rささらないように\rチュウイするズラ$s\r
0208	[string 1]を\rおくるズラ。\rこれはオラをつくってくれた\rおれいだし、えんりょなく\rうけとってほしいズラ$s\r\r
0209	モチモノのしゅうのうに\rもってこいの [string 1]。オラのかんしゃのキモチ、\rなにもいわずに\rうけとるダス$s\r\r\r
020A	このあいだは オラをりっぱに\rしあげてくれてかんしゃズラ!\rおれいに\rこの [string 1]を\rあげるズラよ$s\r\r
020B	じかんをおしまず\rオラをつくってくれたキミに、\rこの [string 1]を\rあげるダス!\rじかんは えきのとけいに\rバッチリあわせといたズラ$s\r
020C	この [string 1]は\rオラがたんせいこめてあんだズラ♪カッコよく\rつくってくれたおれいだし\rえんりょなくうけとるダス!\r\r\r
020D	この [string 1]は\rオラのかいしんさくダス!\rかべに はるなり\rうって ひとざいさんきずくなり\rスキにつかっていいズラよ♪\r\r
020E	このたび わけあって\rひっこすことにしました。\rばしょはおおしえできませんが、\rあなたのことは\rけしてわすれませんからね!\rおたがい がんばりましょう!\r
020F	とつぜんですが、こんど\rこのむらを\rはなれることになりました。\rいきさきはわかりません。\rいままで\rほんとうにおせわになりました。\r
0210	わたし、こんどひっこします。\rほんとうは いきさきを\rおしえたいのですが、\rあなたがあそびにきたら\rないちゃいそうなので・・・。\rだまってさるわたしをゆるしてね。\r
0211	アンタに いきさきもつげず\rむらをあとにするけど、\rシンパイはいらないわ!\rあたらしいむらでがんばる\rアタイをおうえんしてね♪\rそれじゃ バイバーイ!\r
0212	アタイ、こんどあてのないたびに\rでることにしたわ。\rアンタには\rめいわくかけっぱなしだったけど、ちゃんとカンシャしてるからね。\rまたどこかであえるといいわね!\r\r
0213	とうとつだけど こんど\rひっこすことにしたわ。\r1からがんばってみるつもりだし\rいきさきはきかないでね♪\r\r\r
0214	じつは、だまって\r[string 4]をたびだちました。\rだから、さがさないでねぇ。\rそれだけ つたえたかったんだぁ。 ついしん\rフルーツちょうだぁい\r\r
0215	おいしいものをさがしに\rどこか、とおくへいくねぇ。\rでも、また もどってくるかなんてボクも わかんないんだぁ。\rだって、ボクは・・・\rほうろうのタビビトだもん。\r\r
0216	ボクがだまって、むらをでたから\rびっくりしたでしょ?\rいま、ボクは \rしあわせにくらしてるよぉ。\rちゃんとたべてるから、\rどうか、さがさないでねぇ。\r
0217	わかれが つらくなるからさ、\rおまえにだまって、\r[string 4]をでたけど、\rだいじなコトいうの、わすれてた。どこへいっても、おいらは\rおまえのコト わすれないからな!\r\r
0218	げんきか? [string 1]ー!\rおいらはげんきだぜ!\rおいらが いなくなって、\rさみしいかもしれないけど\rおいらたち あえなくたって\rずっと ともだちだぜ!\r
0219	おいらは たびにでる!\r[string 4]には もどらねー!\rたっしゃで くらせよなぁー!\rおっと、かなしむんじゃない!\rおいらは おいら!\r[string 1]は [string 1]だ!\r
021A	よぉ、げんきにしてるか?!\rまさか オレがいなくなったことにきづいてないってことは\rねぇだろうな? おめぇにだまってひっこしちまったが、いきてりゃ\rまたあえるだろうぜ。 あばよ!\r\r\r
021B	やっぱりオレはよぉ、おなじむらにずーっと すみつづけることなんてできねぇよ。これまでも、わかれはたくさんあったけど、おめぇには\rてがみじゃないと サヨナラって\rいえそうにねぇぜ。 げんきでな。\r\r\r\r
021C	きゅうに おもいたっちまったんであいさつもせずに、たびにでた。\rおめぇには よくしてもらったし、ホントに かんしゃしてるぜ。\r\rまたどこかで あえるといいな。\r\r\r
021D	ないちゃうと こまるから、\rおたくには なにもいわずに\rひっこしちゃったのよ。\rあたし、こうみえても なみだ\rもろいのよね。\r         おげんきで!\r
021E	なにか わすれてることがあると\rおもったら、ひっこすこと\rおたくに おしえてなかったわ。\rべつに おしえるひつようも\rないんだけどさ。\rじゃあ、げんきでね。 サヨナラ。\r
021F	さがしたって あたしはもう\rいないわよ。 だまってでちゃったけど、べつに おたくを キライになったワケじゃないの。 キブンをかえて、やりなおしたくなったってところかな。 じゃあね、バーイ!\r\r\r\r\r
